Video/Audio Id,dominant_topic,Topic Keywords
0,15,nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study|nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study
1,17,dwarf|white|star|mass|time|point|pressure|light|heat|sun|black|low|long|think|form|dwarf|white|star|mass|time|point|pressure|light|heat|sun|black|low|long|think|form
2,5,use|live|male|female|walk|open|seven|leave|eat|nest|age|year|thirteen|time|know|use|live|male|female|walk|open|seven|leave|eat|nest|age|year|thirteen|time|know
3,19,exchange|crypto|investor|bitcoin|india|trade|thousand|create|buy|know|cryptocurrency|offer|new|coin|important|exchange|crypto|investor|bitcoin|india|trade|thousand|create|buy|know|cryptocurrency|offer|new|coin|important
4,8,asset|crypto|base|percent|thirty|cryptocurrency|study|say|long|make|india|government|transfer|need|high|asset|crypto|base|percent|thirty|cryptocurrency|study|say|long|make|india|government|transfer|need|high
5,3,return|cryptocurrency|crypto|bitcoin|coin|percent|market|price|point|say|cryptocurrencie|accord|difference|state|month|return|cryptocurrency|crypto|bitcoin|coin|percent|market|price|point|say|cryptocurrencie|accord|difference|state|month
6,6,use|cryptocurrency|currency|work|exchange|service|like|good|cryptocurrencie|small|border|complex|minister|build|help|use|cryptocurrency|currency|work|exchange|service|like|good|cryptocurrencie|small|border|complex|minister|build|help
7,3,return|cryptocurrency|crypto|bitcoin|coin|percent|market|price|point|say|cryptocurrencie|accord|difference|state|month|return|cryptocurrency|crypto|bitcoin|coin|percent|market|price|point|say|cryptocurrencie|accord|difference|state|month
8,10,elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean|elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean
9,10,elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean|elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean
10,10,elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean|elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean
11,1,fund|risk|market|mutual|invest|investment|fix|long|scheme|income|investor|year|asset|small|major|fund|risk|market|mutual|invest|investment|fix|long|scheme|income|investor|year|asset|small|major
12,2,financial|finance|time|mean|company|asset|value|work|network|money|today|worth|price|start|impact|financial|finance|time|mean|company|asset|value|work|network|money|today|worth|price|start|impact
13,15,nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study|nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study
14,14,specie|ton|elephant|year|point|large|long|thousand|meter|time|short|live|high|know|study|specie|ton|elephant|year|point|large|long|thousand|meter|time|short|live|high|know|study
15,7,thousand|bird|novel|nineteen|border|south|short|story|think|work|open|include|receive|archive|know|thousand|bird|novel|nineteen|border|south|short|story|think|work|open|include|receive|archive|know
16,1,fund|risk|market|mutual|invest|investment|fix|long|scheme|income|investor|year|asset|small|major|fund|risk|market|mutual|invest|investment|fix|long|scheme|income|investor|year|asset|small|major
17,15,nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study|nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study
18,10,elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean|elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean
19,9,animal|book|way|nineteen|time|sell|include|good|great|cold|initially|country|power|source|set|animal|book|way|nineteen|time|sell|include|good|great|cold|initially|country|power|source|set
20,18,work|language|play|include|english|character|use|novelist|great|success|simply|study|thirty|writer|example|work|language|play|include|english|character|use|novelist|great|success|simply|study|thirty|writer|example
21,10,elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean|elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean
22,15,nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study|nineteen|star|write|book|eighty|publish|story|make|sun|object|year|novel|new|seventy|study
23,8,asset|crypto|base|percent|thirty|cryptocurrency|study|say|long|make|india|government|transfer|need|high|asset|crypto|base|percent|thirty|cryptocurrency|study|say|long|make|india|government|transfer|need|high
24,10,elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean|elephant|specie|live|large|female|small|water|use|thirty|male|white|black|long|group|ocean
